State,Beer,Wine,Spirits
Alabama,1.2,0.22,0.58
Alaska,1.31,0.54,1.16
Arizona,1.19,0.38,0.74
Arkansas,1.07,0.17,0.6
California,1.05,0.55,0.73
Colorado,1.22,0.46,1.0
Connecticut,0.89,0.59,0.86
Delaware,1.31,0.57,1.25
District of Columbia,1.26,1.0,1.64
Florida,1.21,0.48,0.92
Georgia,1.08,0.25,0.64
Hawaii,1.3,0.53,0.75
Idaho,1.05,0.92,0.7
Illinois,1.22,0.39,0.73
Indiana,1.09,0.25,0.73
Iowa,1.42,0.18,0.72
Kansas,1.18,0.14,0.67
Kentucky,1.11,0.18,0.65
Louisiana,1.5,0.28,0.85
Maine,1.24,0.42,0.83
Maryland,0.97,0.37,0.87
Massachusetts,1.02,0.61,0.84
Michigan,1.1,0.31,0.8
Minnesota,1.19,0.37,1.04
Mississippi,1.41,0.11,0.71
Missouri,1.3,0.3,0.83
Montana,1.66,0.45,0.88
Nebraska,1.46,0.2,0.68
Nevada,1.57,0.58,1.15
New Hampshire,1.72,0.84,1.82
New Jersey,0.92,0.57,0.87
New Mexico,1.37,0.32,0.74
New York,0.91,0.46,0.69
North Carolina,1.1,0.34,0.58
North Dakota,1.63,0.25,1.16
Ohio,1.28,0.26,0.47
Oklahoma,1.18,0.18,0.58
Oregon,1.28,0.49,0.82
Pennsylvania,1.35,0.23,0.61
Rhode Island,1.1,0.53,0.92
South Carolina,1.36,0.24,0.77
South Dakota,1.53,0.22,0.88
Tennessee,1.05,0.21,0.57
Texas,1.42,0.28,0.58
Utah,0.7,0.17,0.46
Vermont,1.36,0.63,0.7
Virginia,1.11,0.43,0.59
Washington,1.09,0.51,0.74
West Virginia,1.24,0.1,0.45
Wisconsin,1.49,0.31,1.16
Wyoming,1.45,0.22,1.1
