State,Population
Alabama,"4,780,131"
Alaska,"710,249"
Arizona,"6,392,301"
Arkansas,"2,916,025"
California,"37,254,522"
Colorado,"5,029,324"
Connecticut,"3,574,114"
Delaware,"897,936"
District of Columbia,"601,766"
Florida,"18,804,592"
Georgia,"9,688,680"
Hawaii,"1,360,301"
Idaho,"1,567,650"
Illinois,"12,831,574"
Indiana,"6,484,136"
Iowa,"3,046,869"
Kansas,"2,853,129"
Kentucky,"4,339,344"
Louisiana,"4,533,479"
Maine,"1,328,364"
Maryland,"5,773,786"
Massachusetts,"6,547,813"
Michigan,"9,884,129"
Minnesota,"5,303,924"
Mississippi,"2,968,103"
Missouri,"5,988,928"
Montana,"989,414"
Nebraska,"1,826,334"
Nevada,"2,700,691"
New Hampshire,"1,316,461"
New Jersey,"8,791,953"
New Mexico,"2,059,198"
New York,"19,378,110"
North Carolina,"9,535,688"
North Dakota,"672,591"
Ohio,"11,536,727"
Oklahoma,"3,751,615"
Oregon,"3,831,072"
Pennsylvania,"12,702,857"
Rhode Island,"1,052,940"
South Carolina,"4,625,410"
South Dakota,"814,195"
Tennessee,"6,346,298"
Texas,"25,146,100"
Utah,"2,763,888"
Vermont,"625,741"
Virginia,"8,001,041"
Washington,"6,724,545"
West Virginia,"1,853,011"
Wisconsin,"5,687,289"
Wyoming,"563,767"
